MSE, SSIM
229.11619567871094,0.8450535992977022
475.83616638183594,0.6800364545537844
193.1891326904297,0.7417692292400981
873.2799530029297,0.7012978388120025
343.8313293457031,0.6814261368036683
1331.895523071289,0.7422575081298326
136.24253845214844,0.8910114186377104
438.84791564941406,0.7952961153867663
560.6007385253906,0.7208659943269548
213.15228271484375,0.8043690237459697
270.2259979248047,0.8145029454535001
1810.6188659667969,0.6161844063002219
377.16375732421875,0.6681786863409245
972.888427734375,0.7178361530891286
849.7457580566406,0.6680312251887505
564.7524261474609,0.7418981956037681
554.2652435302734,0.7476590181436262
933.4598236083984,0.7769207189299063
436.1586456298828,0.7089377040071559
969.9130706787109,0.7695862890551411
794.1735687255859,0.49928819829303656
264.26409912109375,0.758178181077496
309.1298065185547,0.6906238333607089
454.55699157714844,0.7441476711124503
